"","translatedText","text"
"1184","scourge","flagelo"
"1185","thousands","milhares"
"1186","assets","bens"
"1187","reserved","reservados"
"1188","little","pequena"
"1189","elite","elite"
"1190","could","pôde"
"1191","performed","realizaram"
"1192","aspiration","aspiração"
"1193","old","antiga"
"1194","legitimate","legítima"
"1195","purchase","comprar"
"1196","live","morar"
"1197","comfort","conforto"
"1198","realized","perceberam"
"1199","solidarity","solidária"
"1200","governments","governos"
"1201","prefectures","prefeituras"
"1202","masters","mestres"
"1203","promoting","promovendo"
"1204","founded","fundada"
"1205","teacher","professora"
"1206","poor","pobres"
"1207","wins","ganha"
"1208","opportunity","oportunidade"
"1209","recycle","reciclar"
"1210","book","livro"
"1211","snack","merenda"
"1212","nutritious","nutritiva"
"1213","evasion","evasão"
"1214","decreases","diminui"
"1215","While","enquanto"
"1216","registration","matrícula"
"1217","second","segundo"
"1218","bad dream","pesadelo"
"1219","resources","recursos"
"1220","management","gerenciamento"
"1221","obstinate","obstinado"
"1222","fraud","fraude"
"1223","showing","mostrando"
"1224","way","caminho"
"1225","lead to","levará"
"1226","effective","efetivo"
"1227","free","gratuito"
"1228","prescribes","prescreve"
"1229","developed","desenvolvidos"
"1230","they got","conseguiram"
"1231","occur","ocorrem"
"1232","various","várias"
"1233","others","outras"
"1234","however","obstante"
"1235","resist","resistem"
"1236","to see","enxergar"
"1237","welling up","brotando"
"1238","under","sob"
"1239","reluctant","relutam"
"1240","to recognize","reconhecer"
"1241","advancing","avançando"
"1242","competing","competindo"
"1243","adapting","adaptando"
"1244","times","tempos"
"1245","several","vários"
"1246","plans","planos"
"1247","globalization","globalização"
"1248","restructuring","reestruturação"
"1249","revitalization","revitalização"
"1250","different","diferente"
"1251","best","melhores"
"1252","started","começou"
"1253","coin","moeda"
"1254","divider","divisor"
"1255","waters","águas"
"1256","concentration","concentração"
"1257","income","renda"
"1258","start","início"
"1259","distribution","distribuição"
"1260","predict","prever"
"1261","month","mês"
"1262","to plan","planejar"
"1263","Following","seguinte"
"1264","about","sobre"
"1265","schedule","agenda"
"1266","true","verdadeiras"
"1267","restored","restaurou"
"1268","save","poupar"
"1269","invest","investir"
"1270","transformed","transformado"
"1271","become","tornar"
"1272","efficient","eficiente"
"1273","avoid","evitar"
"1274","lend","prestar"
"1275","services","serviços"
"1276","population","população"
"1277","do all the homework","fazcontafaztudo"
"1278","to be continued","continua"
"1279","instrument","instrumento"
"1280","ensure","garantir"
"1281","increase","aumento"
"1282","came back","voltou"
"1283","respected","respeitado"
"1284","investments","investimentos"
"1285","multiplied","multiplicaram"
"1286","generating","gerando"
"1287","horizons","horizontes"
"1288","external","externo"
"1289","reap","colhe"
"1290","fruits","frutos"
"1291","renewed","renovada"
"1292","Marketplace","mercado"
"1293","relevant","relevante"
"1294","interdependence","interdependência"
"1295","inevitable","inevitável"
"1296","affected","afetados"
"1297","events","eventos"
"1298","originated","originados"
"1299","far away","longínquas"
"1300","make","tornam"
"1301","same","mesma"
"1302","form","forma"
"1303","pass","passam"
"1304","to affect","afetar"
"1305","required","necessário"
"1306","know","saiba"
"1307","national","nacionais"
"1308","speak","falar"
"1309","defend them","defendêlos"
"1310","forums","foros"
"1311","coaduna","coaduna"
"1312","isolation","isolamento"
"1313","affirm","afirmamos"
"1314","distancing","distanciamento"
"1315","priority","prioritária"
"1316","irreversible","irreversível"
"1317","diplomacy","diplomacia"
"1318","realizing","realizando"
"1319","creation","criação"
"1320","space","espaço"
"1321","integrated","integrado"
"1322","peace","paz"
"1323","prosperity","prosperidade"
"1324","shared","compartilhada"
"1325","America","américa"
"1326","reflects","reflete"
"1327","hemispheric","hemisférica"
"1328","ties","laços"
"1329","solid","sólidos"
"1330","unity","união"
"1331","European","europeia"
"1332","Japan","japão"
"1333","detriment","detrimento"
"1334","links","vínculos"
"1335","historical","históricos"
"1336","consolidating","consolidando"
"1337","insertion","inserção"
"1338","members","membros"
"1339","done","feito"
"1340","remains","resta"
"1341","continue","continuam"
"1342","immense","imensos"
"1343","face them","enfrentálos"
"1344","we prepare","preparamos"
"1345","ground","terreno"
"1346","we plant","plantamos"
"1347","seed","semente"
"1348","hence","daqui"
"1349","front","frente"
"1350","double","dupla"
"1351","to preserve","preservar"
"1352","achievements","realizações"
"1353","achievements","conquistas"
"1354","sower","semeador"
"1355","phrase","frase"
"1356","Gilberto","gilberto"
"1357","beloved","amado"
"1358","throw","lançar"
"1359","ground","solo"
"1360","arid","árido"
"1361","arm","braço"
"1362","fatigue","fatiga"
"1363","hit","acerto"
"1364","accounts","contas"
"1365","treating","tratando"
"1366","prevent","impedir"
"1367","results","resulta"
"1368","enlargement","ampliação"
"1369","flows","fluxos"
"1370","capitals","capitais"
"1371","knowledge","conhecimentos"
"1372","come","venha"
"1373","contaminated","contaminada"
"1374","virus","vírus"
"1375","exclusion","exclusão"
"1376","we gather","reunimos"
"1377","effectively","efetivamente"
"1378","now","ora"
"1379","initiates","inicia"
"1380","radicalize","radicalizar"
"1381","democratize","democratizar"
"1382","increasing","aumentando"
"1383","competition","competição"
"1384","promote","promover"
"1385","requires","requer"
"1386","determination","determinação"
"1387","continued","continuado"
"1388","Congressmen","congressistas"
"1389","eighty","oitenta"
"1390","three","três"
"1391","voters","eleitores"
"1392","they attended","compareceram"
"1393","ballots","urnas"
"1394","last","últimas"
"1395","elections","eleições"
"1396","He gave","deu"
"1397","demonstration","demonstração"
"1398","unambiguous","inequívoca"
"1399","previous","precedente"
"1400","belief","crença"
"1401","enjoy","desfruta"
"1402","full","plena"
"1403","press","imprensa"
"1404","pride","orgulhamos"
"1405","to manifest","manifestar"
"1406","thought","pensamento"
"1407","vitality","vitalidade"
"1408","democratic","democrática"
"1409","advance","avançar"
"1410","we want","queremos"
"1411","partnership","parceria"
"1412","called","chamava"
"1413","eco friendly","eco"
"1414","claims","reivindicações"
"1415","sectors","setores"
"1416","privileged","privilegiados"
"1417","know","sabem"
"1418","noise","ruído"
"1419","expanded","expandiu"
"1420","incorporates","incorpora"
"1421","churches","igrejas"
"1422","movements","movimentos"
"1423","calls","chamadas"
"1424","exist","existe"
"1425","silent","silenciosa"
"1426","hear","ouvir"
"1427","measures","medidas"
"1428","they seek","buscam"
"1429","meet","atender"
"1430","case","caso"
"1431","noises","ruídos"
"1432","shield","escudam"
"1433","civil","civil"
"1434","takes on","assume"
"1435","smaller","menor"
"1436","cost","custo"
"1437","functions","funções"
"1438","private","privativas"
"1439","sector","setor"
"1440","strengthens","fortalece"
"1441","articulate","articularse"
"1442","vertebration","vertebração"
"1443","line","sintonia"
"1444","decentralization","descentralização"
"1445","public","públicas"
"1446","create","cria"
"1447","they arrived","cheguem"
"1448","need","precisam"
"1449","stopped","detiveram"
"1450","instruments","instrumentos"
"1451","pressure","pressão"
"1452","organization","organização"
"1453","via","via"
"1454","rule","regra"
"1455","walks","caminha"
"1456","parties","partidos"
"1457","institutions","instituições"
"1458","modify","modificar"
"1459","will revitalize","revitalizarão"
"1460","may","poderão"
"1461","avoiding","evitando"
"1462","crisis","crise"
"1463","representation","representação"
"1464","rages","grassa"
"1465","current","atual"
"1466","plural form","plural"
"1467","difference","diferença"
"1468","alternation","alternância"
"1469","power","poder"
"1470","corollary","corolário"
"1471","proposal","proposta"
"1472","alternative","alternativa"
"1473","constructive","construtiva"
"1474","title","intitulo"
"1475","single","único"
"1476","to discuss","discutir"
"1477","rectify","retificar"
"1478","convince","convençam"
"1479","glad","alegro"
"1480","opposition","oposição"
"1481","initiated","iniciado"
"1482","differences","divergências"
"1483","above","acima"
"1484","differences","diferenças"
"1485","partisan","partidárias"
"1486","contributes","contribui"
"1487","paths","veredas"
"1488","enriches","enriquece"
"1489","democracies","democracias"
"1490","However","entretanto"
"1491","I received","recebi"
"1492","popular","popular"
"1493","elected","eleitos"
"1494","belongs to","pertence"
"1495","formed","formei"
"1496","Certainly","certamente"
"1497","will support","apoiarão"
"1498","implantation","implantação"
"1499","defend","defendo"
"1500","approved","aprovadas"
"1501","we will complete","completaremos"
"1502","social security","previdenciária"
"1503","administrative","administrativa"
"1504","tributary","tributária"
"1505","judicial","judiciária"
"1506","I trust","confio"
"1507","bigger","maior"
"1508","belonged","pertencido"
"1509","expressive","expressiva"
"1510","contribution","contribuição"
"1511","homage","homenageio"
"1512","I value","valorizo"
"1513","early","precoces"
"1514","larger","maiores"
"1515","leaders","líderes"
"1516","unforgettable","inesquecível"
"1517","friend","amigo"
"1518","Luís","luís"
"1519","Edward","eduardo"
"1520","magellan","magalhães"
"1521","bequeathed","legou"
"1522","example","exemplo"
"1523","competence","competência"
"1524","remains","subsiste"
"1525","disrespected","desrespeitados"
"1526","Indians","índios"
"1527","we advance","avançamos"
"1528","undeniable","inegável"
"1529","to transform","transformar"
"1530","standards","normas"
"1531","practices","práticas"
"1532","everyday","quotidianas"
"1533","Secretary","secretaria"
"1534","strengthened","fortalecida"
"1535","institutionally","institucionalmente"
"1536","to accomplish","cumprir"
"1537","invited","convidada"
"1538","to participate","participar"
"1539","execution","execução"
"1540","control","controle"
"1541","elected","eleito"
"1542","manager","gerente"
"1543","overcome it","superála"
"1544","promises","promessas"
"1545","stable","estável"
"1546","open","aberta"
"1547","competitive","competitiva"
"1548","proceed","prosseguir"
"1549","privatization","privatização"
"1550","support","apoiar"
"1551","they generate","geram"
"1552","relocate","recolocar"
"1553","trajectory","trajetória"
"1554","sustained","sustentado"
"1555","riches","riquezas"
"1556","in these","nesses"
"1557","we face","enfrentamos"
"1558","painting","quadro"
"1559","adverse","adverso"
"1560","suffered","sofreu"
"1561","shaking","abalo"
"1562","crises","crises"
"1563","serious","graves"
"1564","proportions","proporções"
"1565","we live","vivemos"
"1566","reflections","reflexos"
"1567","negative","negativos"
"1568","collapse","colapso"
"1569","russian","russa"
"1570","face","enfrenta"
"1571","heavy","pesado"
"1572","onus","ônus"
"1573","high","elevadas"
"1574","rates","taxas"
"1575","interest","juros"
"1576","cool","arrefeceram"
"1577","decreased","diminuíram"
"1578","will continue","continuará"
"1579","to play","desempenhar"
"1580","active","ativo"
"1581","review","revisão"
"1582","architecture","arquitetura"
"1583","accept","aceitar"
"1584","applications","aplicações"
"1585","speculative","especulativas"
"1586","they are","estarem"
"1587","submitted","submetidas"
"1588","type","tipo"
"1589","supervision","supervisão"
"1590","planning","ordenamento"
"1591","would dismantle","desarticulem"
"1592","productive","produtivo"
"1593","constitute","constituam"
"1594","threat","ameaça"
"1595","recurrent","recorrente"
"1596","save the date","economias"
"1597","forced","forçoso"
"1598","vulnerabilities","vulnerabilidades"
"1599","deficit","déficit"
"1600","spent","gastamos"
"1601","we collect","arrecadamos"
"1602","to balance","equilibrarmos"
"1603","turbulence","turbulência"
"1604","we will pay","pagaremos"
"1605","paid out","pago"
"1606","price","preço"
"1607","high","elevado"
"1608","I hesitated","hesitei"
"1609","to take","tomar"
"1610","I will hesitate","hesitarei"
"1611","torment","tormento"
"1612","medicine","remédio"
"1613","bitter","amargo"
"1614","fever","febre"
"1615","chronic","crônica"
"1616","weakens","debilita"
"1617","compromises","compromete"
"1618","body","organismo"
"1619","doubts","dúvidas"
"1620","will march","marcharei"
"1621","get","obter"
"1622","adjustment","ajuste"
"1623","Supervisor","fiscal"
"1624","free","livrarmos"
"1625","trap","armadilha"
"1626","high","altos"
"1627","sting","aguilhoam"
"1628","impetus","ímpeto"
"1629","though","embora"
"1630","incomplete","incompleta"
"1631","opens","abre"
"1632","balance","equilíbrio"
"1633","eliminating","eliminando"
"1634","ensuring","assegurando"
"1635","benefits","benefícios"
"1636","favor","favor"
"1637","really","realmente"
"1638","they need","necessitam"
"1639","worries","preocupa"
"1640","unemployment","desemprego"
"1641","happens","acontece"
"1642","rate","taxa"
"1643","may","poderá"
"1644","elevate","elevar"
"1645","passenger","passageiro"
"1646","any less","menos"
"1647","painful","doloroso"
"1648","loses","perde"
"1649","ministers","ministros"
"1650","minutes","minutos"
"1651","will take","tomarão"
"1652","possession","posse"
"1653","charges","cargos"
"1654","will receive","receberão"
"1655","guidance","orientação"
"1656","to concentrate","concentrar"
"1657","teams","equipes"
"1658","pastes","pastas"
"1659","home","projetos"
"1660","open","abram"
"1661","especially","especialmente"
"1662","extension","extensão"
"1663","credit","crédito"
"1664","company","empresa"
"1665","qualification","qualificação"
"1666","worker","trabalhador"
"1667","assistance","assistência"
"1668","Unemployed","desempregado"
"1669","can","puder"
"1670","will leave","sairá"
"1671","strengthened","fortalecido"
"1672","adopting","adotando"
"1673","will correct","corrigirão"
"1674","imbalance","desequilíbrio"
"1675","credibility","credibilidade"
"1676","attractive","atraente"
"1677","external","externos"
"1678","will generate","gerarão"
"1679","I drink","tomo"
"1680","loan","empréstimo"
"1681","lapidate","lapidar"
"1682","express","expressa"
"1683","against","diante"
"1684","conjuncture","conjuntura"
"1685","unfavorable","desfavorável"
"1686","if no","senão"
"1687","triumph","triunfo"
"1688","momentarily","momentaneamente"
"1689","interrupted","interrompido"
"1690","Valley","vale"
"1691","octave","oitava"
"1692","world","mundial"
"1693","to continue","continuarmos"
"1694","first","primeiros"
"1695","inequality","desigualdade"
"1696","reversed","revertido"
"1697","fighting","combatendo"
"1698","mode","modo"
"1699","provide","proporcionar"
"1700","disadvantaged","desfavorecidos"
"1701","housing","habitação"
"1702","improved","melhoraram"
"1703","indicators","indicadores"
"1704","of these","destas"
"1705","prove","comprovam"
"1706","Reached","alcançado"
"1707","targeted","direcionados"
"1708","they had","possuiam"
"1709","credits","créditos"
"1710","directed","dirigidos"
"1711","begins","começa"
"1712","to occur","ocorrer"
"1713","rural","rural"
"1714","financing","financiamentos"
"1715","small","pequenas"
"1716","averages","médias"
"1717","only","única"
"1718","susceptible","suscetível"
"1719","to contribute","aportar"
"1720","blow","golpe"
"1721","fatal","fatal"
"1722","we reproduce","reproduzimos"
"1723","were","eras"
"1724","colonial","coloniais"
"1725","brief","breve"
"1726","500","500"
"1727","reflection","reflexão"
"1728","we performed","realizamos"
"1729","to pride","orgulhar"
"1730","won","venceu"
"1731","implemented","implantou"
"1732","followed","seguida"
"1733","tame","domou"
"1734","building","construindo"
"1735","build","edificar"
"1736","egalitarian","igualitária"
"1737","xxi","xxi"
"1738","they live","vivem"
"1739","indignation","indignação"
"1740","degrees","graus"
"1741","subsist","subsistem"
"1742","known","conhecido"
"1743","traveled","percorrido"
"1744","persistence","persistência"
"1745","coherent","coerentes"
"1746","they start","começam"
"1747","reinforced","reforçadas"
"1748","rectified","retificadas"
"1749","early","cedo"
"1750","dreamed","sonhou"
"1751","craved","ansiava"
"1752","rooms","salas"
"1753","class","aula"
"1754","fought","lutou"
"1755","saw","viu"
"1756","are reborn","renascerem"
"1757","hopes","esperanças"
"1758","realized","percebeu"
"1759","missed","faltou"
"1760","firm","firme"
"1761","impatience","impaciência"
"1762","I read","leio"
"1763","travels","viagens"
"1764","voices","vozes"
"1765","I hear","ouço"
"1766","message","mensagem"
"1767","sent","enviada"
"1768","dear ones","queridos"
"1769","Sergio","sergio"
"1770","motta","motta"
"1771","companion","companheiro"
"1772","little bit","apequene"
"1773","destiny","destino"
"1774","historic","histórico"
"1775","coordinate","coordene"
"1776","I will do","farei"
"1777","visitors","visitantes"
"1778","senator","senador"
"1779","ramez","ramez"
"1780","tebet","tebet"
"1781","Joseph","josé"
"1782","to enlist","alencar"
"1783","deputy","deputado"
"1784","Ephraim","efraim"
"1785","moral","morais"
"1786","minister","ministro"
"1787","March","marco"
"1788","aurélio","aurélio"
"1789","you ask","mendes"
"1790","would make","faria"
"1791","mello","mello"
"1792","ministers","ministras"
"1793","parliamentarians","parlamentares"
"1794","gifts","presentes"
"1795","keyword","palavrachave"
"1796","October","outubro"
"1797","finally","finalmente"
"1798","fear","medo"
"1799","decided","decidiu"
"1800","hour","hora"
"1801","to tread","trilhar"
"1802","exhaustion","esgotamento"
"1803","model","modelo"
"1804","produced","produziu"
"1805","failure","fracasso"
"1806","individualism","individualismo"
"1807","selfishness","egoísmo"
"1808","indifference","indiferença"
"1809","disintegration","desintegração"
"1810","families","famílias"
"1811","communities","comunidades"
"1812","threats","ameaças"
"1813","precariousness","precariedade"
"1814","overwhelming","avassaladora"
"1815","disrespect","desrespeito"
"1816","discouragement","desalento"
"1817","impasse","impasse"
"1818","moral","moral"
"1819","selected","escolheu"
"1820","required","necessária"
"1821","angry","bravo"
"1822","dreamed","sonhado"
"1823","so many","tantas"
"1824","generations","gerações"
"1825","fighters","lutadores"
"1826","reaffirm","reafirmar"
"1827","deep","profundos"
"1828","essential","essenciais"
"1829","reiterate","reiterar"
"1830","meaning","significado"
"1831","said","dita"
"1832","print out","imprimir"
"1833","character","caráter"
"1834","intensity","intensidade"
"1835","tell","dizer"
"1836","at that","naquela"
"1837","dignified","digna"
"1838","conscious","consciente"
"1839","able","capaz"
"1840","to shelter","abrigar"
"1841","to welcome","acolher"
"1842","deal with","tratar"
"1843","courage","coragem"
"1844","caution","cuidado"
"1845","humility","humildade"
"1846","daring","ousadia"
"1847","by having","tendo"
"1848","gradual","gradativo"
"1849","simple","simples"
"1850","rapture","arroubo"
"1851","voluntarist","voluntarista"
"1852","negotiation","negociação"
"1853","run over","atropelos"
"1854","precipitations","precipitações"
"1855","result","resultado"
"1856","lasting","duradouro"
"1857","immense","imenso"
"1858","complexity","complexidade"
"1859","ecological","ecológica"
"1860","175","175"
"1861","population","habitantes"
"1862","drop you off","deixálo"
"1863","drift","deriva"
"1864","flavor","sabor"
"1865","winds","ventos"
"1866","needy","carente"
"1867","planning","planejamento"
"1868","fact","fato"
"1869","strategic","estratégico"
"1870","transform it","transformálo"
"1871","to live","vivermos"
"1872","can","possam"
"1873","walk","andar"
"1874","head","cabeça"
"1875","erected","erguida"
"1876","to exercise","exercer"
"1877","everyday","quotidianamente"
"1878","two","duas"
"1879","virtues","virtudes"
"1880","patience","paciência"
"1881","perseverance","perseverança"
"1882","keep","manter"
"1883","many","muitas"
"1884","legitimate","legítimas"
"1885","anxieties","ansiedades"
"1886","attended","atendidas"
"1887","suitable","adequado"
"1888","to step","pisar"
"1889","road","estrada"
"1890","open","abertos"
"1891","walk","caminhar"
"1892","steps","passos"
"1893","thought","pensados"
"1894","accurate","precisos"
"1895","reason","motivo"
"1896","Spoon","colher"
"1897","to plant","plantar"
"1898","trees","árvores"
"1899","we will begin","começaremos"
"1900","say","diz"
"1901","wisdom","sabedoria"
"1902","extraordinary","extraordinário"
"1903","amazon","amazônia"
"1904","River","rio"
"1905","populations","populações"
"1906","prairies","praieiras"
"1907","sertanejas","sertanejas"
"1908","riverside","ribeirinhas"
"1909","watch","vejo"
"1910","mature","maduro"
"1911","callused","calejado"
"1912","optimistic","otimista"
"1913","young","jovem"
"1914","to suffer","sofrer"
"1915","joy","alegria"
"1916","trust","confia"
"1917","own","próprias"
"1918","I believe","creio"
"1919","grandiose","grandioso"
"1920","pain","dor"
"1921","force","força"
"1922","recent","recente"
"1923","evidences","provas"
"1924","indisputable","incontestáveis"
"1925","greatness","grandeza"
"1926","generosity","generosidade"
"1927","mobilize","mobilizar"
"1928","big ones","grandes"
"1929","moments","momentos"
"1930","civic","cívicos"
"1931","wish","desejo"
"1932","summon up","convocar"
"1933","precisely","justamente"
"1934","civic","cívico"
"1935","lands","terras"
"1936","fertile","férteis"
"1937","so much","tanta"
"1938","to work","trabalhar"
"1939","should","deveria"
"1940","be","haver"
"1941","some","alguma"
"1942","however","entanto"
"1943","City","cidade"
"1944","areas","zonas"
"1945","rural","rurais"
"1946","helpless","desamparadas"
"1947","peripheries","periferias"
"1948","urban","urbanas"
"1949","eat","comer"
"1950","they survive","sobrevivem"
"1951","miraculously","milagrosamente"
"1952","below","abaixo"
"1953","line","linha"
"1954","poverty","pobreza"
"1955","begging","mendigando"
"1956","piece","pedaço"
"1957","bread","pão"
"1958","met","conheceu"
"1959","engenhos","engenhos"
"1960","plantations","plantações"
"1961","cane sugar","canaaçúcar"
"1962","proclaimed","proclamou"
"1963","abolished","aboliu"
"1964","deposits","jazidas"
"1965","gold","ouro"
"1966","mines","minas"
"1967","general","gerais"
"1968","coffee","café"
"1969","Paraíba","paraíba"
"1970","industrialized","industrializou"
"1971","forged","forjou"
"1972","remarkable","notável"
"1973","diversified","diversificado"
"1974","park","parque"
"1975","brother","irmão"
"1976","sister","irmã"
"1977","leftover","sobra"
"1978","will cover","cobrirmos"
"1979","shame","vergonha"
"1980","defined","defini"
"1981","program","programa"
"1982","takes","leva"
"1983","zero","zero"
"1984","said","disse"
"1985","pronouncement","pronunciamento"
"1986","after","após"
"1987","Last","final"
"1988","morning","manhã"
"1989","have lunch","almoçar"
"1990","dinner","jantar"
"1991","fulfilled","cumprido"
"1992","i call","conclamo"
"1993","would transform","transformemos"
"1994","petrobras","petrobrás"
"1995","memorable","memorável"
"1996","fight","luta"
"1997","class","classe"
"1998","broken","partido"
"1999","ideology","ideologia"
"2000","face","face"
"2001","cry","clamor"
"2002","suffer","padecem"
"2003","prevail","prevalecer"
"2004","imperative","imperativo"
"2005","ethical","ético"
"2006","capabilities","capacidades"
"2007","sacred","sagrado"
"2008","dignity","dignidade"
"2009","indispensable","imprescindível"
"2010","agrarian","agrária"
"2011","peaceful","pacífica"
"2012","organized","organizada"
"2013","planned","planejada"
"2014","produce","produzam"
"2015","bring","tragam"
"2016","wheat","trigo"
"2017","Soy","soja"
"2018","flour","farinha"
"2019","bean","feijão"
"2020","rice","arroz"
"2021","to recover","recupere"
"2022","rise","levantar"
"2023","born","nascer"
"2024","Sun","sol"
"2025","hoe","enxada"
"2026","tractor","trator"
"2027","contribute","contribuir"
"2028","to increase","incrementar"
"2029","agriculture","agricultura"
"2030","family","familiar"
"2031","cooperativism","cooperativismo"
"2032","perfectly","perfeitamente"
"2033","compatible","compatíveis"
"2034","vigorous","vigoroso"
"2035","Livestock","pecuária"
"2036","business","empresarial"
"2037","agroindustry","agroindústria"
"2038","agribusiness","agronegócio"
"2039","complementary","complementares"
"2040","produce","produzimos"
"2041","we market","comercializamos"
"2042","made","feita"
"2043","idle","ociosas"
"2044","hectares","hectares"
"2045","available","disponíveis"
"2046","arrival","chegada"
"2047","seeds","sementes"
"2048","will sprout","brotarão"
"2049","lush","viçosas"
"2050","lines","linhas"
"2051","technical","técnica"
"2052","scientific","científica"
"2053","we will do","faremos"
"2054","productive","produtivas"
"2055","justify","justificam"
"2056","same","mesmas"
"2057","stimulated","estimuladas"
"2058","to produce","produzir"
"2059","gigantic","gigantesca"
"2060","Mountain","montanha"
"2061","grains","grãos"
"2062","we harvest","colhemos"
"2063","properly","devidamente"
"2064","occupied","ocupadas"
"2065","spread","espalham"
"2066","lose","perder"
"2067","View","vista"
"2068","places","locais"
"2069","we reached","alcançamos"
"2070","productivity","produtividade"
"2071","Australia","austrália"
"2072","United","unidos"
"2073","take care","cuidar"
"2074","patrimony","patrimônio"
"2075","absolutely","absolutamente"
"2076","come back","volte"
"2077","distributing","distribuindo"
"2078","commitment","compromisso"
"2079","want","querem"
"2080","worthily","dignamente"
"2081","fruit","fruto"
"2082","I repeat","repito"
"2083","create","criar"
"2084","emphasis","ênfase"
"2085","Special","especial"
"2086","come back","voltado"
"2087","find","encontram"
"2088","tremendous","tremenda"
"2089","difficulty","dificuldade"
"2090","insert","inserir"
"2091","we will work","trabalharemos"
"2092","overcome","superar"
"2093","gift","atuais"
"2094","macroeconomic","macroeconômicas"
"2095","finances","finanças"
"2096","direction","direção"
"2097","to brake","travar"
"2098","relentless","implacável"
"2099","we will need","precisaremos"
"2100","export","exportar"
"2101","adding","agregando"
"2102","products","produtos"
"2103","acting","atuando"
"2104","creativity","criatividade"
"2105","alone","solos"
"2106","globalized","globalizado"
"2107","strengthening","fortalecendo"
"2108","micro enterprises","microempresas"
"2109","training","capacitação"
"2110","infrastructure","infraestrutura"
"2111","turned","voltada"
"2112","flow","escoamento"
"2113","reset","repor"
"2114","generate","gere"
"2115","stations","postos"
"2116","required","necessários"
"2117","we lack","carecemos"
"2118","authentic","autêntico"
"2119","covenant","pacto"
"2120","alliance","aliança"
"2121","interlace","entrelace"
"2122","objectively","objetivamente"
"2123","capital","capital"
"2124","generators","geradores"
"2125","overcome","supere"
"2126","to sail","navegar"
"2127","sea","mar"
"2128","Open","aberto"
"2129","equally","igualmente"
"2130","decisive","decisivo"
"2131","to make feasible","viabilizar"
"2132","complains","reclama"
"2133","I compromised","comprometi"
"2134","legislation","legislação"
"2135","labor","trabalhista"
"2136","boost","impulsionar"
"2137","cycle","ciclo"
"2138","advice","conselho"
"2139","I intend to","pretendo"
"2140","install","instalar"
"2141","January","janeiro"
"2142","gathering","reunindo"
"2143","leaderships","lideranças"
"2144","segments","segmentos"
"2145","particularly","particularmente"
"2146","conducive","propício"
"2147","rare","raro"
"2148","I can","consigo"
"2149","business","empresariado"
"2150","politicians","políticos"
"2151","men","homens"
"2152","brothers","irmanados"
"2153","purpose","propósito"
"2154","we count","contamos"
"2155","accession","adesão"
"2156","enthusiastic","entusiasmada"
"2157","it is","tratase"
"2158","powerful","poderosa"
"2159","awakened","despertou"
"2160","to waste","desperdiçar"
"2161","ethicopolitics","éticopolítica"
"2162","extraordinary","extraordinária"
"2163","we will engage","empenharemos"
"2164","find","encontre"
"2165","channels","canais"
"2166","spirit","espírito"
"2167","constituted","constituí"
"2168","Ministry","ministério"
"2169","segment","segmento"
"2170","team","equipe"
"2171","personalism","personalismo"
"2172","to adopt","adotar"
"2173","transparency","transparência"
"2174","permanent","permanente"
"2175","stimulus","estímulo"
"2176","ethic","ética"
"2177","tract","trato"
"2178","to defeat","derrotar"
"2179","impunity","impunidade"
"2180","prevails","prevalece"
"2181","certain","certos"
"2182","we will allow","permitiremos"
"2183","evasion","sonegação"
"2184","to continue","continuem"
"2185","depriving","privando"
"2186","could","poderiam"
"2187","hard","dura"
"2188","survival","sobrevivência"
"2189","honest","honesto"
"2190","to steal","roubar"
"2191","to apply","aplicar"
"2192","waste","desperdícios"
"2193","focused","focados"
"2194","concrete","concretos"
"2195","chance","chance"
"2196","main","principais"
"2197","hindrances","entraves"
"2198","believe me","acreditem"
"2199","conquered","conquistada"
"2200","leadership","liderança"
"2201","executive","executivo"
"2202","keep","manterá"
"2203","fraternal","fraterna"
"2204","powers","poderes"
"2205","respecting","respeitando"
"2206","exemplarily","exemplarmente"
"2207","constitutional","constitucionais"
"2208","honor","honra"
"2209","parliamentary","parlamentar"
"2210","I expect","espero"
"2211","tell","contar"
"2212","judicious","criterioso"
"2213","viabilization","viabilização"
"2214","demand","demanda"
"2215","attentions","atenções"
"2216","Domains","domínios"
"2217","diving","mergulho"
"2218","enlarge","ampliar"
"2219","horizon","horizonte"
"2220","close","fechar"
"2221","doors","portas"
"2222","windows","janelas"
"2223","universalist","universalista"
"2224","simply","simplesmente"
"2225","purchase","adquirir"
"2226","same","mesmos"
"2227","fix","fixar"
"2228","I enjoy","curto"
"2229","medium","médio"
"2230","deadlines","prazos"
"2231","search","buscar"
"2232","do them","realizálos"
"2233","Score","ponto"
"2234","main","principal"
"2235","savings","poupança"
"2236","investment","investimento"
"2237","you need","necessita"
"2238","human","humano"
"2239","investing","investindo"
"2240","generated","gerada"
"2241","hands","mãos"
"2242","produced","produzida"
"2243","machines","máquinas"
"2244","intelligence","inteligência"
"2245","sweat","suor"
"2246","cruelties","crueldades"
"2247","discriminations","discriminações"
"2248","black","negras"
"2249","pain","dores"
"2250","forget","esquecer"
"2251","never","jamais"
"2252","realized","realizou"
"2253","resistance","resistência"
"2254","admirable","admirável"
"2255","built","construiu"
"2256","centuries","séculos"
"2257","diversified","diversificada"
"2258","contradictory","contraditória"
"2259","you see","entende"
"2260","tip","ponta"
"2261","territory","território"
"2262","delighted","encantados"
"2263","orixás","orixás"
"2264","bay","bahia"
"2265","frevo","frevo"
