"","translatedText","text"
"210","is reflected vision hemispheric integration solid ties european union russia china japan detrimental historical ties africa","é    reflete   visão  integração hemisférica   laços  sólidos   união europeia  rússia  china   japão  detrimento    vínculos históricos   áfrica"
"211","brazil thus consolidating active insertion sovereign international system","brasil  assim consolidando  inserção ativa  soberana  sistema internacional"
"212","members national congress last years it's true done it's still got to do","senhores membros  congresso nacional  últimos anos  é verdade    feito ainda resta   fazer"
"213","challenges remain immense","desafios continuam imensos"
"214","better conditions face them","melhores condições  enfrentálos"
"215","we prepare ground","preparamos  terreno"
"216","we plant seeds","plantamos  semente"
"217","hence the task front is double","daqui   frente   tarefa é dupla"
"218","preserve achievements from new achievements","preservar  realizações  partir  novas conquistas"
"219","continuity is indispensable because hope people are sowing phrase gilberto beloved sow seed see grow plant soil arid arm sower fatigue","continuidade  é indispensável pois  esperança  povo é    semeador  frase  gilberto amado  lançar  semente  ver crescer  planta  solo árido  braço  semeador  fatiga"
"220","doing account bills past time trying prevent prosperity results enlargement flows capital knowledge technology come contaminated virus exclusion","fazendo  acerto  contas   passado    tempo tratando  impedir   prosperidade  resulta  ampliação  fluxos  capitais conhecimentos  tecnologia venha contaminada  vírus  exclusão"
"221","Today we gather conditions to build Brazil in solidarity.","reunimos hoje  condições  construir  brasil efetivamente solidário   justo"
"222","objective central government now initiates radicalize democracy democratize market increasing competition promote ample opportunity all Brazilians","objetivo central  governo  ora  inicia    radicalizar  democracia democratizar  mercado aumentando  competição  promover  ampla oportunidade  todos  brasileiros"
"223","requires political determination continued economic growth","requer determinação política  crescimento econômico continuado"
"224","congressmen eighty three million voters attended last elections elections","senhores congressistas oitenta  três milhões  eleitores compareceram  urnas  últimas eleições"
"225","Brazilian people gave unequivocal demonstration previous dimension belief democracy","povo brasileiro deu  demonstração inequívoca  precedente   dimensão  crença  democracia"
"226","country enjoys full freedom opinion press proud","país desfruta  plena liberdade  opinião   imprensa     orgulhamos"
"227","right to manifest critical thinking is vital democratic vitality","direito  manifestar  pensamento   crítica é fundamental  vitalidade democrática"
"228","we need to move forward","precisamos avançar"
"229","we want to deepen partnership society","queremos aprofundar  parceria   sociedade"
"230","recently called public opinion only eco claims privileged sectors society know how to make noise defense interests","faz pouco tempo      chamava  opinião pública  apenas  eco  reivindicações  setores privilegiados  sociedade  sabem fazer ruído  defesa   interesses"
"231","today public opinion expanded incorporates unions workers churches social movements called government organizations","hoje  opinião pública expandiu  incorpora sindicatos  trabalhadores igrejas movimentos sociais   chamadas organizações  governamentais"
"232","there is still a silent majority","ainda existe  maioria silenciosa    faz ouvir"
"233","measures social policy government seek to attend majority case against noise shield poor defend privileges","medidas  política social  governo buscam atender   maioria     caso contra  ruídos    escudam   pobres  defender  privilégios"
"234","civil society assumes less efficient cost functions before privative public sector","sociedade civil assume   eficiência  menor custo funções  antes  privativas  setor público"
"235","state strengthens to articulate","estado  fortalece  articularse"
"236","vertebration society tuning decentralization public policies creates conditions services state arrive effectively need always have because they have always detained instruments pressure to claim","vertebração  sociedade  sintonia   descentralização  políticas públicas cria  condições    serviços  estado cheguem efetivamente    precisam    sempre     têm porque sempre detiveram  instrumentos  pressão  reivindicar"
"237","brazil weather state organization front society","brasil   tempo  estado  organização   frente  sociedade"
"238","today contrary is society via rule walks forward state","hoje  contrário é  sociedade  via  regra caminha  frente  estado"
"239","parties since empire institutions state society need to modify to be now institutions society","partidos  desde  império  instituições  estado     sociedade precisam modificar  serem agora instituições  sociedade"
"240","so revitalize can be tuning society avoiding crisis political representation rages current world","assim  revitalizarão  poderão estar  sintonia   sociedade evitando  crise  representação política  grassa  mundo atual"
"241","democracy we want to have is plural dialogue within respect difference critical critique alternation power","democracia  queremos ter é   diálogo plural dentro  respeito  diferença  crítica   alternância  poder"
"242","critical corollary is constructive alternative proposal","corolário  crítica é  proposta alternativa  construtiva"
"243","title lord single path","intitulo senhor   caminho único"
"244","ready to discuss","pronto  discutir   retificar  rumo sempre   convençam    alternativa é melhor   país"
"245","joy dialogue opposition started","alegro    diálogo   oposição    iniciado"
"246","I know several field divergences","sei   divergências  vários campos"
"247","I know about actions above party differences","sei    temas  ações   acima  diferenças partidárias"
"248","dialogue helps to identify new paths enriches democracy strengthens country","diálogo contribui  identificar veredas novas enriquece  democracia  fortalece  país"
"249","fundamental democracies meanwhile is majority support","fundamental  democracias entretanto é  apoio  maioria"
"250","support received popular ballot votes","apoio recebi  urnas  voto popular   partidos"
"251","majority elected representatives people belong parties which formed government","maioria  representantes eleitos  povo pertence  partidos   quais formei  governo"
"252","will certainly support congress measures necessary deployment policies advocate approved voters","certamente apoiarão  congresso  medidas necessárias  implantação  políticas  defendo    aprovadas  eleitores"
"253","we will thus complete reforms","completaremos assim  reformas"
"254","Related searches","previdenciária   administrativa   tributária  política   judiciária"
"255","I trust in this house","confio nesta casa expressão maior  soberania popular    orgulho  ter pertencido"
"256","congress gave significant contribution last four years country transformations","congresso deu expressiva contribuição  transformações  país  últimos quatro anos"
"257","honors, all, member, people, premature, greatest, leaders, unforgettable, friend, luis, eduardo magalhães, leave, last, legou, example, competence, vision, love, country","homenageio  todos   membros  tanto valorizo  pessoa      precoces  maiores líderes   inesquecível amigo luís eduardo magalhães    deixar  ano passado  legou  exemplo   competência visão  amor  país"
"258","democracy where violence subsists","democracia onde subsiste  violência"
"259","where still disrespected basic rights children black women Indians","onde ainda  desrespeitados direitos básicos  crianças   mulheres  negros   índios"
"260","we have advanced in this area","avançamos nesta área"
"261","it is undeniable","é inegável"
"262","do","fazer"
"263","challenge transform values daily practice standards","desafio   transformar  valores   normas  práticas quotidianas"
"264","secretariat human rights institutionally strengthened better fulfill mission","secretaria  direitos humanos  fortalecida institucionalmente  melhor cumprir  missão"
"265","invited to participate directly in the implementation of","sociedade  convidada  participar  diretamente  execução  controle  políticas"
"266","lords congressmen elected to be crisis manager","senhores congressistas   eleito  ser  gerente  crise"
"267","chosen people","escolhido  povo  superála   cumprir  promessas  campanha"
"268","continue to build competitive open modern stable economy","continuar  construir  economia estável moderna aberta  competitiva"
"269","privatization","prosseguir  firmeza  privatização"
"270","support generate jobs","apoiar   produzem  geram empregos"
"271","thus repositioning country sustainable growth sustainable growth better distribution of Brazilian wealth","assim recolocar  país  trajetória   crescimento sustentado sustentável   melhor distribuição  riquezas   brasileiros"
"272","In the last four years we have faced an adverse international","nesses últimos quatro anos enfrentamos  quadro internacional adverso"
"273","Brazilian economy suffered shock three serious international crises","economia brasileira sofreu  abalo  três crises internacionais  graves proporções"
"274","we still live negative reflexes Russian currency collapse","ainda vivemos  reflexos negativos  colapso  moeda russa"
"275","economy faces heavy burden high interest rates cooled growth decreased employment","economia enfrenta  pesado ônus  elevadas taxas  juros  arrefeceram  crescimento  diminuíram  emprego"
"276","Brazil will continue to play active role international financial system architecture review","brasil continuará  desempenhar papel ativo  revisão  arquitetura  sistema financeiro internacional"
"277","we can accept speculative applications to be subject any type of supervision disarticulate productive process constitute recurrent threat national economies","podemos aceitar  aplicações especulativas   estarem submetidas  qualquer tipo  supervisão  ordenamento desarticulem  processo produtivo  constituam ameaça recorrente  economias nacionais"
"278","it is necessary to recognize public deficit vulnerabilities","é forçoso reconhecer     vulnerabilidades    déficit público"
"279","we spent","gastamos    arrecadamos"
"280","while balancing accounts every turbulence international economy will pay high price paid","enquanto  equilibrarmos  contas  cada turbulência  economia internacional pagaremos   pago preço elevado"
"281","so I hesitated to take necessary measures to defend real I will hesitate to make precise end torment public deficit","assim   hesitei  tomar  medidas necessárias  defender  real  hesitarei  fazer    preciso   fim  tormento  déficit público"
"282","is better remedy bitter cure disease fever chronic weakens forces compromises health organism","é melhor  remédio amargo  cura  doença    febre crônica  debilita  forças  compromete  saúde  organismo"
"283","doubters, gentlemen","dúvidas senhores"
"284","march determination determination get adjustment fiscal free brazil trap interest high spurs momentum economic growth","marcharei  determinação  obter  congresso  ajuste fiscal   livrarmos  brasil  armadilha  juros altos  aguilhoam  ímpeto  crescimento econômico"
"285","pension reform although incomplete opens better perspectives balance public accounts","reforma  previdência embora incompleta abre perspectivas melhores   equilíbrio  contas públicas"
"286","let's continue eliminating privileges ensuring continuity benefits favor really need","vamos prosseguir   eliminando privilégios  assegurando  continuidade  benefícios  favor   realmente necessitam"
"287","unemployment worries","preocupa  desemprego"
"288","starts every year unemployment rate may raise","acontece  início  cada ano  taxa  desemprego poderá elevar"
"289","being passenger frame is less painful lose job","ser passageiro  quadro  é menos doloroso   perde   emprego"
"290","ministers few minutes will take office positions will receive president republic orientation needs to concentrate competencies teams resources folders open new opportunities work income especially young extension credit small company programs qualification worker assistance unemployed","ministros   poucos minutos tomarão posse   cargos receberão  presidente  república  orientação precisa concentrar  competência   equipes   recursos   pastas  projetos  abram novas oportunidades  trabalho   renda especialmente   jovens  extensão  crédito  pequena empresa  programas  qualificação  trabalhador   assistência  desempregado"
"291","everything government can do area job done","tudo    governo puder fazer  área  emprego  feito"
"292","conviction brazil will come out stronger crisis","convicção    brasil sairá fortalecido  crise"
"293","adopting policies will correct imbalance accounts","políticas   adotando corrigirão  desequilíbrio   contas"
"294","country credibility even greater","país  credibilidade ainda maior"
"295","attractive investment market both internal and external generate growth jobs","mercado  atraente   investimentos tanto internos quanto externos  gerarão crescimento  empregos"
"296","I borrow loan joaquim nabuco phrase lapidar express sentiment in front of this unfavorable conjuncture life is other than possession future confidence political certainty triumph momentarily I say interrupted","tomo  empréstimo  joaquim nabuco frase lapidar  expressa  sentimento diante desta conjuntura desfavorável  vida  é senão  posse  futuro  confiança   política  certeza  triunfo momentaneamente digo  interrompido"
"297","gentlemen congressmen little country worth being eighth world economy continue first social inequality","senhores congressistas  pouco vale  país ser  oitava economia mundial  continuarmos   primeiros  desigualdade social"
"298","to be reversed","quadro   ser revertido"
"299","combating inequality stability economy improvement quality public education mode provide disadvantaged opportunity ever","combatendo  desigualdade   estabilidade  economia    melhoria  qualidade  educação pública  modo  proporcionar  desfavorecidos  oportunidade  nunca"
"300","public policies education health housing sanitation improved","políticas públicas  educação saúde habitação saneamento melhoraram"
"301","indicators, each of these areas demonstrates progress achieved","indicadores  cada  destas áreas comprovam  progresso alcançado"
"302","before targeted public services had","antes  serviços públicos  direcionados    possuiam"
"303","now services government directed credits need","agora  serviços   créditos  governo  dirigidos    precisam"
"304","so it's basic health education","assim é  educação fundamental   saúde"
"305","so begins to occur rural credit small medium-sized enterprises","assim começa  ocorrer   crédito rural   financiamentos  pequenas  médias empresas"
"306","it's revolution","é  revolução"
"307","only susceptible transform social physiognomy country bring fatal blow inequality reproduced from colonial eras","única suscetível  transformar  fisionomia social  país  aportar  golpe fatal  desigualdade  reproduzimos desde  eras coloniais"
"308","soon to be 500 years old","breve completaremos 500 anos"
"309","reflection about what we do we want to be","momento  reflexão sobre   realizamos       queremos ser"
"310","To proud Brazil Brazilians","orgulhar  brasil   brasileiros"
"311","country won authoritarianism implanted democracy followed dominate inflation building stability now front challenge build egalitarian society","país  venceu  autoritarismo  implantou  democracia  seguida domou  inflação   construindo  estabilidade  agora  frente  desafio  edificar  sociedade  igualitária"
"312","it's vision country twenty-first century","é   visão  país   século xxi"
"313","right is project all Brazilians live indignation degrees inequality still subsist","certo   é   projeto  todos  brasileiros  vivem  indignação  graus  desigualdade  ainda subsistem"
"314","miracles in this area","milagres nesta área"
"315","path is known traversed persistence","caminho é conhecido   percorrido  persistência"
"316","Right way","rumo  certo"
"317","coherent policies","políticas  coerentes"
"318","start giving results","começam  dar resultados"
"319","reinforced","reforçadas"
"320","required","retificadas  necessário"
"321","members national congress belonging generation from early dreamed social reform country","senhores membros  congresso nacional pertenço   geração  desde cedo sonhou   reforma social   país"
"322","wanted to participate","ansiava  participar"
"323","active university both classrooms streets","ativa  universidade tanto  salas  aula   ruas"
"324","fought against will","lutou contra  arbítrio"
"325","redemocratization saw revival of hope change country","redemocratização viu renascerem  esperanças  mudar  país"
"326","stability economy realized recover instruments edify brazil better","estabilidade  economia percebeu  recuperamos  instrumentos  edificar  brasil melhor"
"327","Will never missed","vontade nunca faltou"
"328","still steady","continua firme"
"329","Brazil expects fair nation impatience","brasil espera  impaciência   nação  justa"
"330","it's hope I read my eyes Brazilian Brazilian thousands meeting travel country","é esperança  leio  olhos  milhares  brasileiras   brasileiros  encontro   viagens  país"
"331","I listen to the streets","vozes  ouço  ruas"
"332","I received a mission","missão  recebi  urnas"
"333","Message sent dear friends sergio motta companion life struggles apequene","mensagem enviada    amigos  queridos sergio motta companheiro   vida  lutas   apequene"
"334","fulfill historical destiny","cumpra  destino histórico"
"335","coordinate country transformations","coordene  transformações  país"
"336","I'll do that","assim farei"
"337","thank you","obrigado"
"338","",""
"339","excellency, gentlemen, heads, government, heads, missions, foreign, special, sir, president, congress, senator, ramez, tebet, excellent, sir, vice-president, republic, josé alencar, lord, president, chamber, deputies, efraim, morals, lord, supreme, president, federal, court, aurelio mendes, ladies, gentlemen, ladies, ministers, ministers, ladies, state ladies ladies and gentlemen","excelentíssimos senhores chefes  estado   governo visitantes  chefes  missões especiais estrangeiras excelentíssimo senhor presidente  congresso nacional senador ramez tebet excelentíssimo senhor vicepresidente  república josé alencar excelentíssimo senhor presidente  câmara  deputados deputado efraim morais excelentíssimo senhor presidente  supremo tribunal federal ministro marco aurélio mendes  faria mello senhoras  senhores ministros  ministras  estado senhoras  senhores parlamentares senhoras  senhores presentes   ato  posse"
"340","Change is Keyword Big Message Brazilian Society Elections October","mudança  é  palavrachave    grande mensagem  sociedade brasileira  eleições  outubro"
"341","hope finally won fear Brazilian society decided to tread new paths","esperança finalmente venceu  medo   sociedade brasileira decidiu    hora  trilhar novos caminhos"
"342","depletion, unemployment, famine, failure, failure, culture, individualism, selfishness, indifference, before, disintegration, families, communities, face, threats, sovereignty, national, precariousness, overwhelming, public safety, disrespect, old, dismay,","diante  esgotamento   modelo   vez  gerar crescimento produziu estagnação desemprego  fome diante  fracasso   cultura  individualismo  egoísmo  indiferença perante  próximo  desintegração  famílias   comunidades diante  ameaças  soberania nacional  precariedade avassaladora  segurança pública  desrespeito   velhos   desalento   jovens diante  impasse econômico social  moral  país  sociedade brasileira escolheu mudar  começou  mesma  promover  mudança necessária"
"343","brazilian people elected president republic change","povo brasileiro  elegeu presidente  república  mudar"
"344","felt every vote given me brave companion josé alencar","sentido  cada voto dado  mim    bravo companheiro josé alencar"
"345","here on this day dreamed so many generations fighters came before reaffirming deep commitments essential reiterate every citizen citizen country meaning every word said campaign print change character intensity practice saying arrived time transformed brazil in that nation people always dreamed sovereign nation dignified conscious own importance scenario international time able to shelter welcome treat justice all children","aqui neste dia sonhado  tantas gerações  lutadores  vieram antes    reafirmar   compromissos  profundos  essenciais  reiterar  todo cidadão  cidadã   país  significado  cada palavra dita  campanha  imprimir  mudança  caráter  intensidade prática  dizer  chegou  hora  transformar  brasil naquela nação     gente sempre sonhou  nação soberana digna consciente  própria importância  cenário internacional    tempo capaz  abrigar acolher  tratar  justiça todos   filhos"
"346","let's change yes","vamos mudar sim"
"347","change courage care humility boldness change having awareness change is gradual gradual process simple act will voluntaristic rapture","mudar  coragem  cuidado humildade  ousadia mudar tendo consciência    mudança é  processo gradativo  continuado   simples ato  vontade   arroubo voluntarista"
"348","change medium dialogue negotiation hurdles precipitation consistent consistent result","mudança  meio  diálogo   negociação  atropelos  precipitações    resultado  consistente  duradouro"
"349","brazil is country immense continent high complexity human ecological social almost 175 million inhabitants","brasil é  país imenso  continente  alta complexidade humana ecológica  social  quase 175 milhões  habitantes"
"350","we can let it follow drift flavor destitute real development project national planning strategic fact","podemos deixálo seguir  deriva  sabor  ventos carente   verdadeiro projeto  desenvolvimento nacional    planejamento  fato estratégico"
"351","we want to transform it end to live nation everyone can walk head upright exercise everyday two virtues perseverance","queremos transformálo  fim  vivermos   nação   todos possam andar  cabeça erguida   exercer quotidianamente duas virtudes  paciência   perseverança"
"352","keep under control many legitimate social anxieties can be met right pace right moment stepping road eyes open walk steps thought accurate solid simple reason no one can reap fruits before planting trees","manter sob controle   muitas  legítimas ansiedades sociais    possam ser atendidas  ritmo adequado   momento justo   pisar  estrada   olhos abertos  caminhar   passos pensados precisos  sólidos  simples motivo   ninguém pode colher  frutos antes  plantar  árvores"
"353","we will start to change because it says popular wisdom long walk begins first steps","começaremos  mudar  pois  diz  sabedoria popular  longa caminhada começa  primeiros passos"
"354","It is an extraordinary country.","é  país extraordinário"
"355","amazon rio grande south half populations prairies sertanejas riverside I see everywhere it is mature people cally optimistic","amazônia  rio grande  sul  meio  populações praieiras sertanejas  ribeirinhas   vejo  todo lugar é  povo maduro calejado  otimista"
"356","people let it never be new young people know is to suffer know is joy trust themselves forces","povo   deixa nunca  ser novo  jovem  povo  sabe   é sofrer  sabe    é alegria  confia  si    próprias forças"
"357","I believe future great Brazil because joy is greater pain strength is greater misery hope is greater fear","creio  futuro grandioso   brasil porque   alegria é maior     dor   força é maior     miséria   esperança é maior     medo"
"358","Brazilian people both ancient and recent history given incontestable proofs greatness generosity proofs capacity mobilize national energy great civic moments desire before anything else summon people justly large civic effort national teamwork against hunger","povo brasileiro tanto   história  antiga quanto   recente  dado provas incontestáveis   grandeza  generosidade provas   capacidade  mobilizar  energia nacional  grandes momentos cívicos   desejo antes  qualquer outra coisa convocar   povo justamente   grande mutirão cívico   mutirão nacional contra  fome"
"359","country counts so many fertile lands so many people want to work there should be no reason to talk hungry","país  conta  tantas terras férteis   tanta gente  quer trabalhar  deveria haver razão alguma   falar  fome"
"360","However, millions of Brazilians, rural areas, homeless rural areas, urban peripheries,","entanto milhões  brasileiros  campo   cidade  zonas rurais  desamparadas   periferias urbanas  neste momento  ter   comer"
"361","survive miraculously below poverty line die misery begging piece of bread","sobrevivem milagrosamente abaixo  linha  pobreza   morrem  miséria mendigando  pedaço  pão"
"362","it's ancient history","é  história antiga"
"363","brazil knew wealth ingenuities plantations sugar cane sugar early colonial defeated famine proclaimed national independence abolished slavery won hunger met wealth gold mines general production coffee valley paraíba won famine industrialized forged notable diversified productive park overcame hunger","brasil conheceu  riqueza  engenhos   plantações  canaaçúcar  primeiros tempos coloniais   venceu  fome proclamou  independência nacional  aboliu  escravidão   venceu  fome conheceu  riqueza  jazidas  ouro  minas gerais   produção  café  vale  paraíba   venceu  fome industrializou  forjou  notável  diversificado parque produtivo   venceu  fome"
"364","can it continue like this","pode continuar assim"
"365","while Brazilian brother Brazilian sister starving reason left over cover shame","enquanto   irmão brasileiro   irmã brasileira passando fome  motivo  sobra   cobrirmos  vergonha"
"366","priorities priorities government food safety program leads name zero hunger","defini   prioridades   governo  programa  segurança alimentar  leva  nome  fome zero"
"367","said first pronouncement after final election term all Brazilians chance to have breakfast lunch dinner fulfilled mission life","disse   primeiro pronunciamento após  eleição   final   mandato todos  brasileiros   possibilidade  tomar café  manhã almoçar  jantar  cumprido  missão   vida"
"368","It's today we'll end up starving country","é    hoje conclamo vamos acabar   fome   país"
"369","let's transform end national cause national past petrobras memorable struggle redemocratization struggle","transformemos  fim  fome   grande causa nacional    passado  criação  petrobrás   memorável luta  redemocratização  país"
"370","is cause may should be all distinction class ideology party","é  causa  pode  deve ser  todos  distinção  classe partido ideologia"
"371","face clamor suffer flagellum famine must prevail imperative ethical add strength capabilities instruments defend is sacred human dignity","face  clamor   padecem  flagelo  fome deve prevalecer  imperativo ético  somar forças capacidades  instrumentos  defender   é  sagrado  dignidade humana"
"372","planned agrarian reform","imprescindível fazer  reforma agrária pacífica organizada  planejada"
"373","let us guarantee access land wants to work only issue justice social fields brazil produce bring food table everyone bring wheat soybean flour fruits beans rice","vamos garantir acesso  terra   quer trabalhar  apenas   questão  justiça social     campos  brasil produzam   tragam  alimentos   mesa  todos  tragam trigo soja farinha frutos   feijão  arroz"
"374","man field recover dignity knowing raise sunrise each movement tractor tractor will contribute well-being brazilian countryside city we will increase family farming cooperativism forms solidarity economy","homem  campo recupere  dignidade sabendo    levantar   nascer  sol cada movimento   enxada    trator irá contribuir   bemestar  brasileiros  campo   cidade vamos incrementar   agricultura familiar  cooperativismo  formas  economia solidária"
"375","perfectly compatible vigorous support livestock farming business agribusiness agribusiness agribusiness truth complementary economic and social dimension","perfeitamente compatíveis    vigoroso apoio  pecuária   agricultura empresarial  agroindústria   agronegócio   verdade complementares tanto  dimensão econômica quanto social"
"376","to pride","orgulhar  todos  bens  produzimos  comercializamos"
"377","agrarian reform made idle land millions hectares now available arrival families seeds sprout lush credit lines scientific technical assistance","reforma agrária  feita  terras ociosas  milhões  hectares hoje disponíveis   chegada  famílias   sementes  brotarão viçosas  linhas  crédito  assistência técnica  científica"
"378","we will affect how some lands produce because productive lands justify themselves stimulated always produce example gigantic mountain grains we harvest every year","faremos   afetar  modo algum  terras  produzem porque  terras produtivas  justificam  si mesmas   estimuladas  produzir sempre   exemplo  gigantesca montanha  grãos  colhemos  cada ano"
"379","today so many areas duly occupied country plantations spread lose view places we reach productivity greater australia united states","hoje tantas áreas  país  devidamente ocupadas  plantações espalham  perder  vista  locais   alcançamos produtividade maior     austrália    estados unidos"
"380","take good care of this immense Brazilian productive asset","cuidar bem  bem deste imenso patrimônio produtivo brasileiro"
"381","other side is absolutely necessary country to grow back generating jobs distributing income","outro lado é absolutamente necessário   país volte  crescer gerando empregos  distribuindo renda"
"382","I want to reaffirm here commitment Brazilian Brazilians want to work live worthily fruit work","quero reafirmar aqui   compromisso   produção   brasileiros  brasileiras  querem trabalhar  viver dignamente  fruto   trabalho"
"383","said I create jobs obsession","disse  repito criar empregos    obsessão"
"384","we will give special emphasis first job project aimed at creating opportunities young people today find tremendous difficulty entering job market","vamos dar ênfase especial  projeto primeiro emprego voltado  criar oportunidades  jovens  hoje encontram tremenda dificuldade   inserir  mercado  trabalho"
"385","in this sense we will work to overcome current vulnerabilities create favorable macroeconomic conditions resumed sustained growth stability management responsible public finances core values","nesse sentido trabalharemos  superar  vulnerabilidades atuais  criar condições macroeconômicas favoráveis  retomada  crescimento sustentado     estabilidade   gestão responsável  finanças públicas  valores essenciais"
"386","to move forward in this direction beyond to fight relentless inflation inflation we need to export aggregating value products acting energy creativity international soils globalized trade","avançar nessa direção além  travar combate implacável  inflação precisaremos exportar  agregando valor   produtos  atuando  energia  criatividade  solos internacionais  comércio globalizado"
"387","same way it is necessary to increase the internal market by strengthening small microenterprises","mesma forma é necessário incrementar    mercado interno fortalecendo  pequenas  microempresas"
"388","it is necessary to invest technological training infrastructure directed to outflow production","é necessário  investir  capacitação tecnológica  infraestrutura voltada   escoamento  produção"
"389","to replace, Brazil, Brazil, Brazil, Brazil, Brazil, Brazil, Brazil, Brazil, Brazil, Brazil, Brazil, Brazil, Latin America, Latin America, Latin America","repor  brasil  caminho  crescimento  gere  postos  trabalho tão necessários carecemos   autêntico pacto social  mudanças    aliança  entrelace objetivamente  trabalho   capital produtivo geradores  riqueza fundamental  nação  modo    brasil supere  estagnação atual  volte  navegar  mar aberto  desenvolvimento econômico  social"
"390","social pact equally decisive feasible reforms brazilian society demands compromise reform social security reform tax reform labor legislation besides own agrarian reform","pacto social  igualmente decisivo  viabilizar  reformas   sociedade brasileira reclama     comprometi  fazer  reforma  previdência  reforma tributária  reforma política   legislação trabalhista além  própria reforma agrária"
"391","joint reforms will boost new national development cycle","conjunto  reformas vai impulsionar  novo ciclo  desenvolvimento nacional"
"392","fundamental instrument of this pact change council national economic development social intend to install from January bringing together entrepreneurs workers leaders different segments civil society","instrumento fundamental desse pacto  mudança   conselho nacional  desenvolvimento econômico  social  pretendo instalar   partir  janeiro reunindo empresários trabalhadores  lideranças  diferentes segmentos  sociedade civil"
"393","particularly propitious moment","momento particularmente propício"
"394","rare moment people life","momento raro  vida   povo"
"395","moment president republic with side national will","momento    presidente  república  consigo   lado  vontade nacional"
"396","political parties","empresariado  partidos políticos  forças armadas   trabalhadores  unidos"
"397","men old women young partners purpose contribute country fulfill destination historical prosperity justice","homens  mulheres   velhos   jovens  irmanados    propósito  contribuir    país cumpra   destino histórico  prosperidade  justiça"
"398","besides support immense majority organizations social movements we count enthusiastic adhesion million Brazilian Brazilians want to participate in this crusade resumed growth against hunger unemployment social inequality","além  apoio  imensa maioria  organizações   movimentos sociais contamos    adesão entusiasmada  milhões  brasileiros  brasileiras  querem participar dessa cruzada  retomada  crescimento contra  fome  desemprego   desigualdade social"
"399","we are going to waste","tratase   poderosa energia solidária    campanha despertou    podemos   vamos desperdiçar"
"400","extraordinary political power","energia éticopolítica extraordinária   empenharemos   encontre canais  expressão   governo"
"401","All I believe in is social pact.","tudo  acredito  pacto social"
"402","spirit constituted ministry some better leaders each Brazilian social economic segment","espírito constituí   ministério  alguns  melhores líderes  cada segmento econômico  social brasileiro"
"403","we will work team personalism well Brazil we will adopt new style absolute government permanent transparency stimulus popular participation","trabalharemos  equipe  personalismo  bem  brasil  vamos adotar  novo estilo  governo  absoluta transparência  permanente estímulo  participação popular"
"404","corruption corruption defense ethics public deal objectives central permanent government","combate  corrupção   defesa  ética  trato  coisa pública  objetivos centrais  permanentes   governo"
"405","one must face determination defeat true culture impunity prevails certain sectors public life","é preciso enfrentar  determinação  derrotar  verdadeira cultura  impunidade  prevalece  certos setores  vida pública"
"406","we will allow corruption evasion waste continue depriving population resources could both help tough fight survival","permitiremos   corrupção  sonegação   desperdício continuem privando  população  recursos      tanto poderiam ajudar   dura luta  sobrevivência"
"407","to be honest is to just steal let steal","ser honesto é    apenas  roubar   deixar roubar"
"408","is to apply efficiency transparency waste public resources focused concrete social results","é  aplicar  eficiência  transparência  desperdícios  recursos públicos focados  resultados sociais concretos"
"409","convinced this way unique chance to overcome major obstacles sustained development country","convencido    dessa forma  chance única  superar  principais entraves  desenvolvimento sustentado  país"
"410","I believe I intend to waste the opportunity won Many millions of Brazilian Brazilians struggle","acreditem acreditem   pretendo desperdiçar  oportunidade conquistada   luta  muitos milhões  brasileiros  brasileiras"
"411","under leadership executive power maintain constructive fraternal relationship other powers republic respectfully exemplary independence exercise high constitutional functions","sob   liderança  poder executivo manterá  relação construtiva  fraterna   outros poderes  república respeitando exemplarmente   independência   exercício   altas funções constitucionais"
"412","honor to be parliamentarian of this house hope to count contribution national congress debate criterious feasibility structural reforms country demand all","honra  ser parlamentar desta casa espero contar   contribuição  congresso nacional  debate criterioso   viabilização  reformas estruturais   país demanda  todos"
"413","Government of Brazil will be center all attention","governo  brasil vai estar  centro  todas  atenções"
"414","Brazil needs to do all domains diving in itself form create forces allow to expand horizon","brasil precisa fazer  todos  domínios  mergulho  dentro  si   forma  criar forças   permitam ampliar   horizonte"
"415","do diving means close doors windows world","fazer  mergulho  significa fechar  portas  janelas  mundo"
"416","Brazil may have development project national time universalist","brasil pode  deve ter  projeto  desenvolvimento     tempo nacional  universalista"
"417","it means simply to acquire confidence same capacity fix goals short middle long terms seek to accomplish them","significa simplesmente adquirir confiança   mesmos  capacidade  fixar objetivos  curto médio  longo prazos   buscar realizálos"
"418","main point model we want to walk is expansion internal savings capacity own investment so Brazil needs to value human capital investing knowledge technology","ponto principal  modelo    queremos caminhar é  ampliação  poupança interna    capacidade própria  investimento assim   brasil necessita valorizar   capital humano investindo  conhecimento  tecnologia"
"419","especially let's produce","sobretudo vamos produzir"
"420","wealth account is generated own hands produced machinery sweat intelligence","riqueza  conta é  gerada   próprias mãos produzida   máquinas   inteligência    suor"
"421","Brazil is big","brasil é grande"
"422","despite all cruelties discriminations especially against black indigenous communities all inequalities pains we must never forget brazilian people carried out resistance work national construction admirable","apesar  todas  crueldades  discriminações especialmente contra  comunidades indígenas  negras   todas  desigualdades  dores   devemos esquecer jamais  povo brasileiro realizou  obra  resistência  construção nacional admirável"
"423","built multiplied plural contradictory point meaning other territory","construiu  longo  séculos  nação plural diversificada contraditória     entende   ponta  outra  território"
